payment_date,user_id,subscription_type,amount,payment_status
2026-01-15,U2501,yearly,294,성공
2026-01-21,U2503,yearly,294,성공
2026-01-20,U2504,monthly,35,성공
2026-01-27,U2505,monthly,35,성공
2026-01-22,U2506,monthly,35,성공
2026-01-28,U2513,monthly,35,성공
2026-01-22,U2518,yearly,294,성공
2026-01-15,U2519,monthly,35,성공
2026-01-21,U2523,monthly,35,성공
2026-01-17,U2525,yearly,294,성공
2026-01-17,U2531,yearly,294,성공
2026-01-16,U2532,monthly,35,성공
2026-01-21,U2534,yearly,294,성공
2026-01-23,U2538,yearly,294,성공
2026-01-20,U2540,monthly,35,성공
2026-01-16,U2548,yearly,294,성공
2026-01-24,U2552,yearly,294,성공
2026-01-17,U2554,yearly,294,성공
2026-01-19,U2557,yearly,294,성공
2026-01-17,U2564,monthly,35,실패
2026-01-26,U2567,monthly,35,성공
2026-01-23,U2568,monthly,35,성공
2026-01-20,U2571,monthly,35,성공
2026-01-20,U2572,monthly,35,성공
2026-01-24,U2576,yearly,294,성공
2026-01-20,U2583,yearly,294,성공
2026-01-16,U2586,monthly,35,성공
2026-01-15,U2589,monthly,35,성공
2026-01-17,U2590,monthly,35,실패
2026-01-17,U2590,monthly,35,실패
2026-01-24,U2590,yearly,294,성공
2026-01-19,U2595,yearly,294,성공
2026-01-24,U2596,monthly,35,성공
2026-01-20,U2601,monthly,35,성공
2026-01-25,U2613,yearly,294,성공
2026-01-28,U2615,yearly,294,성공
2026-01-17,U2617,yearly,294,성공
2026-01-28,U2619,monthly,35,성공
2026-01-17,U2620,yearly,294,성공
2026-01-23,U2626,yearly,294,성공
2026-01-18,U2632,yearly,294,성공
2026-01-21,U2634,yearly,294,성공
2026-01-19,U2638,monthly,35,성공
2026-01-16,U2641,yearly,294,성공
2026-01-23,U2642,yearly,294,성공
2026-01-16,U2644,yearly,294,성공
2026-01-17,U2650,yearly,294,성공
2026-01-25,U2652,yearly,294,성공
2026-01-20,U2655,yearly,294,성공
2026-01-27,U2660,yearly,294,성공
2026-01-20,U2661,monthly,35,성공
2026-01-16,U2662,yearly,294,성공
2026-01-15,U2664,yearly,294,성공
2026-01-24,U2666,yearly,294,성공
2026-01-16,U2671,monthly,35,성공
2026-01-23,U2672,yearly,294,성공
2026-01-22,U2673,monthly,35,성공
2026-01-16,U2680,yearly,294,성공
2026-01-23,U2682,monthly,35,성공
2026-01-24,U2683,yearly,294,성공
2026-01-18,U2684,yearly,294,성공
2026-01-15,U2692,yearly,294,성공
2026-01-26,U2694,yearly,294,성공
2026-01-19,U2695,monthly,35,성공
2026-01-15,U2698,yearly,294,성공
2026-01-18,U2700,monthly,35,성공
2026-01-15,U2703,monthly,35,성공
2026-01-20,U2704,yearly,294,성공
2026-01-18,U2706,yearly,294,성공
2026-01-20,U2711,monthly,35,성공
2026-01-20,U2714,yearly,294,성공
2026-01-26,U2721,yearly,294,성공
2026-01-27,U2723,yearly,294,성공
2026-01-24,U2729,yearly,294,성공
2026-01-18,U2730,monthly,35,성공
2026-01-25,U2731,monthly,35,성공
2026-01-16,U2732,monthly,35,성공
2026-01-25,U2733,yearly,294,성공
2026-01-19,U2738,yearly,294,성공
2026-01-15,U2741,yearly,294,성공
2026-01-19,U2745,monthly,35,실패
2026-01-19,U2745,monthly,35,실패
2026-01-21,U2746,yearly,294,성공
2026-01-17,U2754,yearly,294,성공
2026-01-22,U2756,yearly,294,성공
2026-01-26,U2757,yearly,294,성공
2026-01-18,U2762,yearly,294,성공
2026-01-28,U2768,monthly,35,성공
2026-01-23,U2770,yearly,294,성공
2026-01-28,U2771,yearly,294,성공
2026-01-15,U2775,yearly,294,성공
2026-01-25,U2777,monthly,35,성공
2026-01-22,U2778,yearly,294,성공
2026-01-23,U2779,yearly,294,성공
2026-01-15,U2782,yearly,294,성공
2026-01-28,U2784,monthly,35,성공
2026-01-26,U2789,yearly,294,성공
2026-01-27,U2790,yearly,294,성공
2026-01-24,U2793,yearly,294,성공
2026-01-24,U2796,monthly,35,성공
2026-01-16,U2802,monthly,35,성공
2026-01-21,U2807,yearly,294,성공
2026-01-25,U2809,yearly,294,성공
2026-01-22,U2820,monthly,35,성공
2026-01-26,U2821,monthly,35,성공
2026-01-20,U2824,monthly,35,성공
2026-01-23,U2825,yearly,294,성공
2026-01-15,U2827,yearly,294,성공
2026-01-19,U2828,yearly,294,성공
2026-01-20,U2830,monthly,35,성공
2026-01-17,U2831,monthly,35,실패
2026-01-17,U2831,monthly,35,실패
2026-01-16,U2833,monthly,35,성공
2026-01-23,U2835,yearly,294,성공
2026-01-17,U2837,yearly,294,성공
2026-01-26,U2840,yearly,294,성공
2026-01-26,U2843,monthly,35,성공
2026-01-27,U2846,yearly,294,성공
2026-01-15,U2852,yearly,294,성공
2026-01-15,U2856,yearly,294,성공
2026-01-21,U2857,yearly,294,성공
2026-01-23,U2858,yearly,294,성공
2026-01-21,U2860,monthly,35,성공
2026-01-16,U2863,monthly,35,성공
2026-01-20,U2868,monthly,35,성공
2026-01-20,U2869,yearly,294,성공
2026-01-15,U2870,monthly,35,성공
2026-01-25,U2873,monthly,35,성공
2026-01-23,U2875,yearly,294,성공
2026-01-19,U2876,monthly,35,성공
2026-01-22,U2878,monthly,35,성공
2026-01-27,U2880,monthly,35,성공
2026-01-26,U2881,monthly,35,성공
2026-01-15,U2882,yearly,294,성공
2026-01-18,U2884,yearly,294,성공
2026-01-20,U2887,monthly,35,성공
2026-01-21,U2888,monthly,35,성공
2026-01-22,U2893,yearly,294,성공
2026-01-19,U2896,yearly,294,성공
2026-01-15,U2897,monthly,35,성공
2026-01-27,U2898,yearly,294,성공
2026-01-18,U2900,yearly,294,성공
2026-01-21,U2903,monthly,35,성공
2026-01-15,U2905,yearly,294,성공
2026-01-26,U2906,yearly,294,성공
2026-01-24,U2909,monthly,35,성공
2026-01-22,U2912,yearly,294,성공
2026-01-19,U2914,yearly,294,성공
2026-01-15,U2919,monthly,35,성공
2026-01-27,U2926,yearly,294,성공
2026-01-26,U2927,yearly,294,성공
2026-01-22,U2928,yearly,294,성공
2026-01-18,U2930,yearly,294,성공
2026-01-22,U2936,monthly,35,성공
2026-01-15,U2943,yearly,294,성공
2026-01-24,U2944,yearly,294,성공
2026-01-27,U2947,monthly,35,성공
2026-01-19,U2949,yearly,294,성공
2026-01-26,U2951,monthly,35,성공
2026-01-17,U2952,yearly,294,성공
2026-01-27,U2961,monthly,35,실패
2026-01-27,U2961,monthly,35,실패
2026-01-18,U2965,monthly,35,성공
2026-01-20,U2966,monthly,35,성공
2026-01-15,U2967,monthly,35,성공
2026-01-25,U2969,yearly,294,성공
2026-01-20,U2972,monthly,35,성공
2026-01-19,U2977,monthly,35,성공
2026-01-17,U2979,monthly,35,성공
2026-01-16,U2981,monthly,35,성공
2026-01-27,U2987,monthly,35,성공
2026-01-24,U2988,yearly,294,성공
2026-01-27,U2997,yearly,294,성공
2026-01-19,U3000,monthly,35,성공
2026-01-22,U3003,monthly,35,성공
2026-01-16,U3004,yearly,294,성공
2026-01-23,U3005,monthly,35,성공
2026-01-28,U3006,monthly,35,성공
2026-01-23,U3007,monthly,35,성공
2026-01-27,U3008,monthly,35,성공
2026-01-18,U3010,monthly,35,성공
2026-01-15,U3011,monthly,35,성공
2026-01-25,U3013,yearly,294,성공
2026-01-27,U3015,yearly,294,성공
2026-01-20,U3016,monthly,35,성공
2026-01-18,U3018,yearly,294,성공
2026-01-17,U3019,yearly,294,성공
2026-01-15,U3021,yearly,294,성공
2026-01-15,U3024,yearly,294,성공
2026-01-27,U3025,monthly,35,성공
2026-01-23,U3027,yearly,294,성공
2026-01-25,U3037,yearly,294,성공
2026-01-26,U3043,yearly,294,성공
2026-01-17,U3050,yearly,294,성공
2026-01-23,U3054,monthly,35,성공
2026-01-20,U3056,yearly,294,성공
2026-01-26,U3058,monthly,35,성공
2026-01-22,U3060,yearly,294,성공
2026-01-15,U3064,yearly,294,성공
2026-01-26,U3066,monthly,35,성공
2026-01-23,U3069,yearly,294,성공
2026-01-22,U3077,yearly,294,성공
2026-01-22,U3078,monthly,35,성공
2026-01-18,U3079,yearly,294,성공
2026-01-26,U3080,yearly,294,성공
2026-01-24,U3082,yearly,294,성공
2026-01-20,U3084,monthly,35,성공
2026-01-22,U3092,yearly,294,성공
2026-01-24,U3095,monthly,35,성공
2026-01-17,U3097,monthly,35,성공
2026-01-15,U3099,yearly,294,성공
