date,user_id,inquiry_type
2026-01-27,U2506,결제/영수증 문의
2026-01-20,U2525,결제/영수증 문의
2026-01-12,U2552,서비스 이용 문의
2026-01-22,U2554,환불 문의
2026-01-25,U2572,서비스 이용 문의
2026-01-24,U2590,환불 문의
2026-02-01,U2615,자동 연장 거부 문의
2026-01-12,U2638,서비스 이용 문의
2026-01-28,U2660,환불 문의
2026-01-24,U2666,환불 문의
2026-01-17,U2671,결제/영수증 문의
2026-01-26,U2721,환불 문의
2026-01-25,U2729,환불 문의
2026-01-20,U2738,자동 연장 거부 문의
2026-01-25,U2746,자동 연장 거부 문의
2026-01-28,U2775,서비스 이용 문의
2026-01-17,U2802,결제/영수증 문의
2026-01-29,U2840,결제/영수증 문의
2026-01-31,U2843,결제/영수증 문의
2026-01-17,U2860,서비스 이용 문의
2026-01-23,U2875,자동 연장 거부 문의
2026-01-27,U2880,자동 연장 거부 문의
2026-01-18,U2884,자동 연장 거부 문의
2026-01-30,U2898,결제/영수증 문의
2026-01-22,U2928,결제/영수증 문의
2026-01-27,U2936,자동 연장 거부 문의
2026-01-27,U2947,환불 문의
2026-01-13,U2966,서비스 이용 문의
2026-01-03,U2981,서비스 이용 문의
2026-01-28,U2997,결제/영수증 문의
2026-01-19,U3019,환불 문의
2026-01-26,U3037,결제/영수증 문의
2026-01-27,U3054,결제/영수증 문의
2026-01-06,U3058,서비스 이용 문의
2026-01-24,U3069,자동 연장 거부 문의
2026-01-26,U3078,자동 연장 거부 문의
2026-01-21,U3113,자동 연장 거부 문의
2026-01-23,U3119,결제/영수증 문의
2026-01-19,U3120,결제/영수증 문의
2026-01-16,U3144,결제/영수증 문의
2026-01-26,U3145,결제/영수증 문의
2026-01-04,U3161,서비스 이용 문의
2026-01-19,U3165,자동 연장 거부 문의
2026-01-28,U3193,환불 문의
2026-01-20,U3198,서비스 이용 문의
2026-01-22,U3205,결제/영수증 문의
2026-01-25,U3214,자동 연장 거부 문의
2026-01-29,U3234,결제/영수증 문의
2026-01-10,U3254,서비스 이용 문의
2026-01-27,U3256,서비스 이용 문의
2026-01-22,U3261,결제/영수증 문의
2026-02-01,U3272,결제/영수증 문의
2026-01-18,U3293,자동 연장 거부 문의
2026-01-20,U3295,결제/영수증 문의
2026-01-23,U3297,결제/영수증 문의
2026-01-03,U3298,서비스 이용 문의
2026-01-21,U3305,환불 문의
2026-01-17,U3312,결제/영수증 문의
2026-01-20,U3320,자동 연장 거부 문의
2026-01-20,U3323,환불 문의
