user_id,subscription_type,subscribed_date,unsubscribed_date
U2501,yearly,2026-01-15,
U2503,yearly,2026-01-21,
U2504,monthly,2026-01-20,2026-01-22
U2505,monthly,2026-01-27,
U2506,monthly,2026-01-22,
U2513,monthly,2026-01-28,
U2518,yearly,2026-01-22,2026-01-26
U2519,monthly,2026-01-15,
U2523,monthly,2026-01-21,2026-01-23
U2525,yearly,2026-01-17,
U2531,yearly,2026-01-17,
U2532,monthly,2026-01-16,
U2534,yearly,2026-01-21,
U2538,yearly,2026-01-23,
U2540,monthly,2026-01-20,
U2548,yearly,2026-01-16,2026-01-24
U2552,yearly,2026-01-24,
U2554,yearly,2026-01-17,2026-01-27
U2557,yearly,2026-01-19,
U2567,monthly,2026-01-26,
U2568,monthly,2026-01-23,
U2571,monthly,2026-01-20,2026-01-27
U2572,monthly,2026-01-20,2026-01-22
U2576,yearly,2026-01-24,
U2583,yearly,2026-01-20,
U2586,monthly,2026-01-16,
U2589,monthly,2026-01-15,
U2590,yearly,2026-01-24,2026-01-28
U2595,yearly,2026-01-19,
U2596,monthly,2026-01-24,
U2601,monthly,2026-01-20,
U2613,yearly,2026-01-25,
U2615,yearly,2026-01-28,
U2617,yearly,2026-01-17,
U2619,monthly,2026-01-28,
U2620,yearly,2026-01-17,
U2626,yearly,2026-01-23,
U2632,yearly,2026-01-18,
U2634,yearly,2026-01-21,
U2638,monthly,2026-01-19,
U2641,yearly,2026-01-16,
U2642,yearly,2026-01-23,
U2644,yearly,2026-01-16,
U2650,yearly,2026-01-17,2026-01-26
U2652,yearly,2026-01-25,
U2655,yearly,2026-01-20,
U2660,yearly,2026-01-27,
U2661,monthly,2026-01-20,
U2662,yearly,2026-01-16,
U2664,yearly,2026-01-15,
U2666,yearly,2026-01-24,
U2671,monthly,2026-01-16,2026-01-21
U2672,yearly,2026-01-23,
U2673,monthly,2026-01-22,
U2680,yearly,2026-01-16,2026-01-17
U2682,monthly,2026-01-23,
U2683,yearly,2026-01-24,
U2684,yearly,2026-01-18,
U2692,yearly,2026-01-15,2026-01-24
U2694,yearly,2026-01-26,
U2695,monthly,2026-01-19,
U2698,yearly,2026-01-15,
U2700,monthly,2026-01-18,
U2703,monthly,2026-01-15,2026-01-18
U2704,yearly,2026-01-20,2026-01-24
U2706,yearly,2026-01-18,
