user_id,user_type,group,gender,age
U2501,신규 고객,B,여성,24
U2502,신규 고객,A,여성,37
U2503,신규 고객,B,여성,30
U2504,신규 고객,A,남성,51
U2505,신규 고객,A,여성,37
U2506,신규 고객,A,여성,40
U2507,신규 고객,A,여성,34
U2508,신규 고객,A,여성,43
U2509,신규 고객,A,여성,22
U2510,신규 고객,A,여성,31
U2511,신규 고객,B,여성,31
U2512,신규 고객,A,남성,20
U2513,신규 고객,A,남성,20
U2514,신규 고객,B,남성,47
U2515,신규 고객,A,남성,32
U2516,신규 고객,A,여성,34
U2517,신규 고객,A,남성,44
U2518,신규 고객,B,남성,40
U2519,신규 고객,A,여성,39
U2520,신규 고객,B,여성,30
U2521,신규 고객,B,남성,34
U2522,신규 고객,A,여성,36
U2523,신규 고객,A,남성,44
U2524,신규 고객,B,남성,39
U2525,신규 고객,B,여성,47
U2526,신규 고객,A,남성,30
U2527,신규 고객,A,여성,40
U2528,신규 고객,B,남성,30
U2529,신규 고객,A,남성,25
U2530,신규 고객,B,남성,35
U2531,신규 고객,B,여성,44
U2532,신규 고객,A,여성,31
U2533,신규 고객,B,여성,24
U2534,신규 고객,B,남성,51
U2535,신규 고객,B,여성,48
U2536,신규 고객,B,여성,25
U2537,신규 고객,A,남성,42
U2538,신규 고객,A,여성,42
U2539,신규 고객,A,남성,33
U2540,신규 고객,A,남성,26
U2541,신규 고객,A,여성,37
U2542,신규 고객,B,여성,47
U2543,신규 고객,B,남성,37
U2544,신규 고객,A,여성,23
U2545,신규 고객,A,여성,29
U2546,신규 고객,A,남성,33
U2547,신규 고객,A,여성,33
U2548,신규 고객,B,여성,34
U2549,신규 고객,A,남성,28
U2550,신규 고객,B,남성,34
U2551,신규 고객,B,남성,30
U2552,신규 고객,B,남성,38
U2553,신규 고객,B,남성,40
U2554,신규 고객,B,남성,37
U2555,신규 고객,A,남성,36
U2556,신규 고객,B,남성,20
U2557,신규 고객,B,여성,30
U2558,신규 고객,B,여성,45
U2559,신규 고객,B,여성,35
U2560,신규 고객,B,남성,32
U2561,신규 고객,A,남성,44
U2562,신규 고객,B,남성,38
U2563,신규 고객,A,여성,20
U2564,신규 고객,A,여성,26
U2565,신규 고객,A,남성,25
U2566,신규 고객,B,여성,25
U2567,신규 고객,A,남성,36
U2568,신규 고객,B,여성,26
U2569,신규 고객,A,남성,44
U2570,신규 고객,A,남성,32
U2571,신규 고객,A,여성,45
U2572,신규 고객,A,여성,23
U2573,신규 고객,B,여성,40
U2574,신규 고객,A,여성,40
U2575,신규 고객,A,여성,49
U2576,신규 고객,A,여성,37
U2577,신규 고객,A,여성,34
U2578,신규 고객,B,남성,33
U2579,신규 고객,B,여성,35
U2580,신규 고객,B,여성,26
U2581,신규 고객,A,여성,32
U2582,신규 고객,B,남성,46
U2583,신규 고객,A,여성,32
U2584,신규 고객,A,여성,26
U2585,신규 고객,A,여성,46
U2586,신규 고객,B,여성,60
U2587,신규 고객,A,남성,44
U2588,신규 고객,A,여성,41
U2589,신규 고객,A,남성,21
U2590,신규 고객,B,남성,22
U2591,신규 고객,A,남성,37
U2592,신규 고객,B,여성,20
U2593,신규 고객,B,여성,32
U2594,신규 고객,B,남성,30
U2595,신규 고객,B,여성,48
U2596,신규 고객,A,여성,28
U2597,신규 고객,B,여성,33
U2598,신규 고객,A,남성,44
U2599,신규 고객,A,남성,45
U2600,신규 고객,B,남성,42
U2601,신규 고객,A,남성,41
U2602,신규 고객,B,여성,35
U2603,신규 고객,B,남성,54
U2604,신규 고객,A,여성,40
U2605,신규 고객,B,남성,35
U2606,신규 고객,A,남성,23
U2607,신규 고객,B,여성,27
U2608,신규 고객,B,여성,20
U2609,신규 고객,A,여성,31
U2610,신규 고객,B,여성,28
U2611,신규 고객,B,여성,28
U2612,신규 고객,A,여성,27
U2613,신규 고객,A,여성,32
U2614,신규 고객,A,여성,40
U2615,신규 고객,B,남성,38
U2616,신규 고객,A,여성,26
U2617,신규 고객,A,여성,43
U2618,신규 고객,B,남성,37
U2619,신규 고객,A,여성,25
U2620,신규 고객,B,남성,45
U2621,신규 고객,A,남성,22
U2622,신규 고객,A,남성,40
U2623,신규 고객,A,남성,21
U2624,신규 고객,A,남성,33
U2625,신규 고객,A,여성,38
U2626,신규 고객,B,남성,48
U2627,신규 고객,B,남성,30
U2628,신규 고객,B,여성,25
U2629,신규 고객,B,남성,42
U2630,신규 고객,B,남성,41
U2631,신규 고객,A,남성,20
U2632,신규 고객,B,남성,38
U2633,신규 고객,A,남성,34
U2634,신규 고객,B,여성,27
U2635,신규 고객,B,여성,39
U2636,신규 고객,B,여성,35
U2637,신규 고객,A,남성,50
U2638,신규 고객,A,남성,29
U2639,신규 고객,A,남성,20
U2640,신규 고객,B,남성,38
U2641,신규 고객,A,여성,25
U2642,신규 고객,B,남성,41
U2643,신규 고객,A,여성,40
U2644,신규 고객,B,남성,33
U2645,신규 고객,B,남성,27
U2646,신규 고객,B,여성,20
U2647,신규 고객,A,여성,46
U2648,신규 고객,B,남성,30
U2649,신규 고객,B,여성,26
U2650,신규 고객,A,여성,45
U2651,신규 고객,B,남성,41
U2652,신규 고객,B,여성,41
U2653,신규 고객,B,남성,40
U2654,신규 고객,A,여성,39
U2655,신규 고객,A,남성,60
U2656,신규 고객,B,여성,31
U2657,신규 고객,A,남성,39
U2658,신규 고객,B,남성,37
U2659,신규 고객,B,남성,39
U2660,신규 고객,B,여성,41
U2661,신규 고객,A,남성,20
U2662,신규 고객,A,여성,26
U2663,신규 고객,A,남성,35
U2664,신규 고객,B,여성,37
U2665,신규 고객,B,남성,35
U2666,신규 고객,B,남성,31
U2667,신규 고객,B,남성,40
U2668,신규 고객,B,여성,21
U2669,신규 고객,B,남성,46
U2670,신규 고객,B,남성,31
U2671,신규 고객,A,여성,30
U2672,신규 고객,A,남성,31
U2673,신규 고객,B,여성,25
U2674,신규 고객,B,남성,41
U2675,신규 고객,A,남성,25
U2676,신규 고객,A,여성,40
U2677,신규 고객,B,남성,30
U2678,신규 고객,B,남성,30
U2679,신규 고객,B,남성,36
U2680,신규 고객,B,여성,38
U2681,신규 고객,A,여성,36
U2682,신규 고객,B,남성,49
U2683,신규 고객,B,여성,20
U2684,신규 고객,B,여성,24
U2685,신규 고객,B,남성,46
U2686,신규 고객,A,여성,31
U2687,신규 고객,A,여성,34
U2688,신규 고객,B,남성,27
U2689,신규 고객,A,여성,20
U2690,신규 고객,A,여성,33
U2691,신규 고객,B,여성,39
U2692,신규 고객,B,여성,38
U2693,신규 고객,B,남성,48
U2694,신규 고객,A,여성,32
U2695,신규 고객,A,여성,45
U2696,신규 고객,B,남성,28
U2697,신규 고객,A,여성,34
U2698,신규 고객,B,여성,35
U2699,신규 고객,A,여성,56
U2700,신규 고객,A,남성,48
U2701,신규 고객,A,여성,39
U2702,신규 고객,A,남성,53
U2703,신규 고객,A,여성,53
U2704,신규 고객,B,여성,23
U2705,신규 고객,B,여성,29
U2706,신규 고객,B,남성,20
U2707,신규 고객,A,여성,47
U2708,신규 고객,B,남성,33
U2709,신규 고객,B,여성,37
U2710,신규 고객,B,여성,42
U2711,신규 고객,B,여성,20
U2712,신규 고객,B,여성,46
U2713,신규 고객,B,여성,31
U2714,신규 고객,B,여성,42
U2715,신규 고객,A,여성,42
U2716,신규 고객,A,여성,38
U2717,신규 고객,A,남성,46
U2718,신규 고객,A,여성,25
U2719,신규 고객,B,여성,43
U2720,신규 고객,A,남성,36
U2721,신규 고객,A,여성,39
U2722,신규 고객,B,남성,31
U2723,신규 고객,B,남성,28
U2724,신규 고객,A,여성,41
U2725,신규 고객,A,여성,23
U2726,신규 고객,B,여성,25
U2727,신규 고객,B,남성,43
U2728,신규 고객,B,남성,31
U2729,신규 고객,B,여성,55
U2730,신규 고객,A,여성,54
U2731,신규 고객,B,남성,20
U2732,신규 고객,A,남성,36
U2733,신규 고객,B,남성,57
U2734,신규 고객,B,남성,34
U2735,신규 고객,B,여성,35
U2736,신규 고객,A,여성,49
U2737,신규 고객,A,남성,33
U2738,신규 고객,A,여성,43
U2739,신규 고객,B,남성,36
U2740,신규 고객,A,여성,26
U2741,신규 고객,A,남성,26
U2742,신규 고객,B,남성,22
U2743,신규 고객,B,여성,43
U2744,신규 고객,A,남성,23
U2745,신규 고객,A,여성,29
U2746,신규 고객,B,남성,20
U2747,신규 고객,B,남성,26
U2748,신규 고객,A,여성,28
U2749,신규 고객,A,여성,41
U2750,신규 고객,A,남성,22
U2751,신규 고객,B,여성,26
U2752,신규 고객,B,남성,32
U2753,신규 고객,B,남성,29
U2754,신규 고객,B,남성,35
U2755,신규 고객,A,여성,20
U2756,신규 고객,B,여성,45
U2757,신규 고객,B,남성,51
U2758,신규 고객,A,여성,26
U2759,신규 고객,B,남성,43
U2760,신규 고객,B,여성,54
U2761,신규 고객,A,남성,42
U2762,신규 고객,B,남성,50
U2763,신규 고객,A,남성,39
U2764,신규 고객,B,여성,30
U2765,신규 고객,A,남성,29
U2766,신규 고객,A,남성,44
U2767,신규 고객,A,여성,45
U2768,신규 고객,B,남성,46
U2769,신규 고객,A,남성,37
U2770,신규 고객,A,남성,39
U2771,신규 고객,B,남성,20
U2772,신규 고객,A,여성,33
U2773,신규 고객,A,남성,20
U2774,신규 고객,A,남성,31
U2775,신규 고객,A,남성,32
U2776,신규 고객,A,여성,33
U2777,신규 고객,B,여성,39
U2778,신규 고객,A,여성,46
U2779,신규 고객,B,남성,37
U2780,신규 고객,A,남성,30
U2781,신규 고객,A,여성,45
U2782,신규 고객,B,여성,50
U2783,신규 고객,B,남성,25
U2784,신규 고객,A,여성,29
U2785,신규 고객,A,남성,26
U2786,신규 고객,B,남성,32
U2787,신규 고객,B,여성,39
U2788,신규 고객,A,여성,30
U2789,신규 고객,A,남성,31
U2790,신규 고객,B,여성,28
U2791,신규 고객,B,여성,52
U2792,신규 고객,A,여성,47
U2793,신규 고객,B,남성,31
U2794,신규 고객,A,여성,33
U2795,신규 고객,A,남성,46
U2796,신규 고객,A,여성,39
U2797,신규 고객,B,남성,36
U2798,신규 고객,B,여성,37
U2799,신규 고객,B,남성,33
U2800,신규 고객,A,여성,21
U2801,신규 고객,A,여성,38
U2802,신규 고객,A,여성,37
U2803,신규 고객,B,여성,47
U2804,신규 고객,A,여성,20
U2805,신규 고객,A,여성,46
U2806,신규 고객,B,남성,28
U2807,신규 고객,B,남성,34
U2808,신규 고객,B,여성,33
U2809,신규 고객,B,남성,54
U2810,신규 고객,A,여성,26
U2811,신규 고객,B,여성,26
U2812,신규 고객,A,남성,49
U2813,신규 고객,A,남성,20
U2814,신규 고객,A,여성,26
U2815,신규 고객,A,남성,27
U2816,신규 고객,A,남성,36
U2817,신규 고객,A,남성,31
U2818,신규 고객,A,여성,29
U2819,신규 고객,B,남성,34
U2820,신규 고객,B,남성,32
U2821,신규 고객,B,남성,31
U2822,신규 고객,B,여성,33
U2823,신규 고객,B,남성,34
U2824,신규 고객,B,여성,39
U2825,신규 고객,B,여성,46
U2826,신규 고객,B,여성,39
U2827,신규 고객,A,남성,37
U2828,신규 고객,B,여성,30
U2829,신규 고객,B,여성,33
U2830,신규 고객,B,여성,38
U2831,신규 고객,A,여성,24
U2832,신규 고객,A,여성,26
U2833,신규 고객,B,여성,27
U2834,신규 고객,B,여성,48
U2835,신규 고객,B,여성,43
U2836,신규 고객,A,남성,36
U2837,신규 고객,B,남성,41
U2838,신규 고객,B,여성,41
U2839,신규 고객,B,여성,34
U2840,신규 고객,B,남성,41
U2841,신규 고객,A,여성,51
U2842,신규 고객,A,여성,20
U2843,신규 고객,A,남성,27
U2844,신규 고객,A,여성,30
U2845,신규 고객,B,여성,33
U2846,신규 고객,A,남성,22
U2847,신규 고객,B,여성,26
U2848,신규 고객,A,남성,20
U2849,신규 고객,A,여성,23
U2850,신규 고객,B,남성,45
U2851,신규 고객,B,남성,23
U2852,신규 고객,B,남성,20
U2853,신규 고객,B,남성,26
U2854,신규 고객,A,남성,46
U2855,신규 고객,A,여성,29
U2856,신규 고객,A,여성,28
U2857,신규 고객,B,남성,34
U2858,신규 고객,A,남성,49
U2859,신규 고객,A,남성,60
U2860,신규 고객,A,남성,24
U2861,신규 고객,A,남성,46
U2862,신규 고객,B,여성,35
U2863,신규 고객,B,여성,27
U2864,신규 고객,A,여성,50
U2865,신규 고객,B,남성,37
U2866,신규 고객,A,남성,28
U2867,신규 고객,B,여성,36
U2868,신규 고객,A,여성,25
U2869,신규 고객,A,남성,44
U2870,신규 고객,A,여성,37
U2871,신규 고객,B,남성,25
U2872,신규 고객,A,남성,35
U2873,신규 고객,B,여성,33
U2874,신규 고객,A,여성,36
U2875,신규 고객,A,여성,27
U2876,신규 고객,A,여성,20
U2877,신규 고객,B,남성,50
U2878,신규 고객,A,여성,24
U2879,신규 고객,A,남성,40
U2880,신규 고객,A,여성,23
U2881,신규 고객,A,남성,30
U2882,신규 고객,B,여성,28
U2883,신규 고객,A,남성,39
U2884,신규 고객,A,남성,22
U2885,신규 고객,A,여성,33
U2886,신규 고객,B,남성,53
U2887,신규 고객,A,남성,46
U2888,신규 고객,B,남성,37
U2889,신규 고객,A,남성,38
U2890,신규 고객,A,여성,20
U2891,신규 고객,A,여성,30
U2892,신규 고객,A,여성,31
U2893,신규 고객,A,남성,30
U2894,신규 고객,A,남성,54
U2895,신규 고객,B,여성,32
U2896,신규 고객,A,남성,32
U2897,신규 고객,A,남성,20
U2898,신규 고객,A,남성,30
