user_id,date,device,visits,button_clicks_monthly,button_clicks_yearly
U2501,2026-01-15,PC,1,0,1
U2501,2026-01-16,PC,2,0,0
U2501,2026-01-17,PC,3,0,1
U2501,2026-01-18,PC,5,1,4
U2501,2026-01-20,PC,4,0,2
U2501,2026-01-21,PC,5,0,5
U2501,2026-01-22,Mobile,4,1,2
U2501,2026-01-23,Mobile,4,0,0
U2501,2026-01-24,Mobile,2,0,0
U2501,2026-01-25,Mobile,3,0,2
U2501,2026-01-26,Mobile,2,0,1
U2501,2026-01-27,PC,1,0,1
U2501,2026-01-28,Mobile,3,0,1
U2502,2026-01-15,Mobile,5,2,1
U2502,2026-01-16,Mobile,5,0,0
U2502,2026-01-17,Mobile,5,0,0
U2502,2026-01-18,Mobile,4,3,0
U2502,2026-01-20,Mobile,5,0,0
U2502,2026-01-21,Mobile,5,4,0
U2502,2026-01-22,Mobile,2,0,2
U2502,2026-01-23,PC,4,0,0
U2502,2026-01-24,Mobile,2,0,1
U2502,2026-01-25,Mobile,3,1,0
U2502,2026-01-26,Mobile,1,0,1
U2502,2026-01-27,Mobile,4,2,1
U2503,2026-01-15,Mobile,2,0,1
U2503,2026-01-16,Mobile,5,1,3
U2503,2026-01-17,PC,2,0,0
U2503,2026-01-18,PC,2,1,1
U2503,2026-01-19,PC,3,0,1
U2503,2026-01-21,PC,4,1,2
U2503,2026-01-22,Mobile,1,0,1
U2503,2026-01-23,Mobile,2,0,2
U2503,2026-01-24,PC,3,0,1
U2503,2026-01-25,PC,4,0,4
U2503,2026-01-26,Mobile,2,0,0
U2503,2026-01-27,Mobile,4,0,1
U2503,2026-01-28,Mobile,5,2,1
U2504,2026-01-15,PC,1,1,0
U2504,2026-01-16,Mobile,1,0,1
U2504,2026-01-17,Mobile,1,0,1
U2504,2026-01-18,PC,5,1,0
U2504,2026-01-19,PC,4,2,1
U2504,2026-01-20,PC,1,1,0
U2504,2026-01-21,Mobile,5,3,2
U2504,2026-01-22,Mobile,3,0,0
U2504,2026-01-23,PC,3,0,1
U2504,2026-01-24,PC,2,1,1
U2504,2026-01-25,Mobile,5,1,0
U2504,2026-01-26,Mobile,1,0,1
U2504,2026-01-27,Mobile,4,0,0
U2504,2026-01-28,Mobile,4,2,1
U2505,2026-01-15,Mobile,3,0,1
U2505,2026-01-16,Mobile,1,0,0
U2505,2026-01-18,Mobile,4,1,0
U2505,2026-01-19,PC,1,1,0
U2505,2026-01-20,Mobile,1,1,0
U2505,2026-01-21,Mobile,1,0,0
U2505,2026-01-22,PC,1,0,0
U2505,2026-01-23,PC,3,0,0
U2505,2026-01-24,PC,2,0,0
U2505,2026-01-25,Mobile,2,1,0
U2505,2026-01-27,Mobile,5,1,0
U2505,2026-01-28,PC,3,1,1
U2506,2026-01-15,Mobile,5,2,1
U2506,2026-01-17,Mobile,4,2,1
U2506,2026-01-18,Mobile,1,0,0
U2506,2026-01-20,Mobile,4,1,0
U2506,2026-01-21,PC,5,0,0
U2506,2026-01-22,PC,3,2,1
U2506,2026-01-23,PC,1,0,1
U2506,2026-01-25,PC,5,2,0
U2506,2026-01-28,PC,4,1,0
U2507,2026-01-15,Mobile,2,2,0
U2507,2026-01-16,Mobile,3,0,0
U2507,2026-01-17,PC,2,0,0
U2507,2026-01-18,Mobile,5,1,1
U2507,2026-01-19,PC,4,0,0
U2507,2026-01-20,PC,5,0,0
U2507,2026-01-21,PC,3,2,0
U2507,2026-01-22,PC,5,1,1
U2507,2026-01-23,Mobile,3,1,1
U2507,2026-01-24,Mobile,3,0,3
U2507,2026-01-25,Mobile,5,4,0
U2507,2026-01-26,Mobile,1,0,0
U2507,2026-01-27,Mobile,4,1,3
U2507,2026-01-28,Mobile,2,0,0
U2508,2026-01-15,PC,5,0,0
U2508,2026-01-16,PC,2,1,1
U2508,2026-01-17,Mobile,2,0,0
U2508,2026-01-18,PC,3,1,0
U2508,2026-01-19,Mobile,2,1,1
U2508,2026-01-20,PC,4,0,0
U2508,2026-01-21,PC,5,4,0
U2508,2026-01-22,PC,5,2,2
U2508,2026-01-23,Mobile,4,0,0
U2508,2026-01-24,PC,4,0,0
U2508,2026-01-25,PC,4,1,2
U2508,2026-01-26,Mobile,2,1,0
U2508,2026-01-28,Mobile,4,2,1
U2509,2026-01-15,Mobile,3,0,0
U2509,2026-01-16,PC,1,0,0
U2509,2026-01-17,Mobile,2,2,0
U2509,2026-01-18,Mobile,2,0,0
U2509,2026-01-19,Mobile,3,0,0
U2509,2026-01-20,Mobile,1,0,0
U2509,2026-01-21,Mobile,2,1,0
U2509,2026-01-23,PC,1,0,0
U2509,2026-01-24,Mobile,5,2,1
U2509,2026-01-25,Mobile,5,0,1
U2509,2026-01-26,PC,3,0,1
U2509,2026-01-27,PC,5,3,1
U2509,2026-01-28,Mobile,2,0,0
U2510,2026-01-15,Mobile,3,1,0
U2510,2026-01-16,PC,5,1,0
U2510,2026-01-17,Mobile,2,1,0
U2510,2026-01-18,PC,4,0,0
U2510,2026-01-19,Mobile,3,0,0
U2510,2026-01-20,Mobile,5,2,0
U2510,2026-01-21,PC,2,0,0
U2510,2026-01-22,PC,2,0,2
U2510,2026-01-23,Mobile,3,1,0
U2510,2026-01-24,PC,4,2,1
U2510,2026-01-25,PC,2,1,1
U2510,2026-01-26,Mobile,5,3,2
U2510,2026-01-27,Mobile,3,1,2
U2510,2026-01-28,Mobile,3,0,0
U2511,2026-01-15,Mobile,3,1,1
U2511,2026-01-16,Mobile,2,0,1
U2511,2026-01-17,PC,5,1,3
U2511,2026-01-18,Mobile,3,0,0
U2511,2026-01-19,Mobile,3,0,1
U2511,2026-01-20,PC,2,0,0
U2511,2026-01-21,Mobile,3,1,0
U2511,2026-01-22,PC,5,1,2
U2511,2026-01-23,PC,3,0,1
U2511,2026-01-24,Mobile,2,0,0
U2511,2026-01-25,Mobile,5,2,2
U2511,2026-01-26,PC,4,0,0
U2511,2026-01-28,Mobile,2,1,1
U2512,2026-01-16,Mobile,4,1,0
U2512,2026-01-17,Mobile,3,1,0
U2512,2026-01-18,Mobile,1,1,0
U2512,2026-01-19,PC,2,1,0
U2512,2026-01-20,PC,1,1,0
U2512,2026-01-21,PC,2,2,0
U2512,2026-01-23,Mobile,2,0,1
U2512,2026-01-24,PC,4,0,0
U2512,2026-01-26,Mobile,4,1,0
U2512,2026-01-27,PC,4,1,3
U2512,2026-01-28,PC,1,0,0
U2513,2026-01-16,PC,3,2,1
U2513,2026-01-17,PC,2,2,0
U2513,2026-01-18,Mobile,5,0,1
U2513,2026-01-20,PC,3,0,0
U2513,2026-01-21,Mobile,4,0,0
U2513,2026-01-22,Mobile,3,0,1
U2513,2026-01-23,PC,2,0,0
U2513,2026-01-25,PC,5,0,0
U2513,2026-01-26,PC,1,0,1
U2513,2026-01-27,PC,2,0,0
U2513,2026-01-28,Mobile,5,3,2
U2514,2026-01-16,PC,3,0,0
U2514,2026-01-17,PC,2,0,0
U2514,2026-01-18,Mobile,5,2,3
U2514,2026-01-19,Mobile,1,0,1
U2514,2026-01-20,Mobile,3,0,1
U2514,2026-01-21,Mobile,4,1,2
U2514,2026-01-22,Mobile,2,0,1
U2514,2026-01-23,Mobile,5,1,3
U2514,2026-01-25,Mobile,2,2,0
U2514,2026-01-26,PC,3,0,0
U2514,2026-01-27,PC,2,0,2
U2514,2026-01-28,Mobile,1,0,0
U2515,2026-01-15,PC,1,1,0
U2515,2026-01-17,PC,2,0,0
U2515,2026-01-18,Mobile,5,1,4
U2515,2026-01-19,Mobile,3,1,2
U2515,2026-01-20,PC,1,0,0
U2515,2026-01-21,PC,1,0,0
U2515,2026-01-23,Mobile,3,1,0
U2515,2026-01-24,PC,4,1,0
U2515,2026-01-25,Mobile,3,0,1
U2515,2026-01-26,PC,4,1,1
U2515,2026-01-27,Mobile,4,0,0
U2515,2026-01-28,Mobile,3,0,0
U2516,2026-01-18,Mobile,2,0,0
U2516,2026-01-19,Mobile,1,0,0
U2516,2026-01-20,PC,3,2,0
U2516,2026-01-21,Mobile,5,0,1
U2516,2026-01-22,Mobile,5,3,1
U2516,2026-01-24,Mobile,5,0,0
U2516,2026-01-25,PC,2,0,1
U2516,2026-01-26,Mobile,4,2,1
U2516,2026-01-27,Mobile,3,0,2
U2516,2026-01-28,Mobile,1,0,0
U2517,2026-01-15,PC,4,1,1
U2517,2026-01-16,Mobile,3,1,0
U2517,2026-01-18,Mobile,2,0,0
U2517,2026-01-19,PC,4,0,4
U2517,2026-01-20,PC,5,0,0
U2517,2026-01-21,Mobile,4,0,0
U2517,2026-01-22,Mobile,2,0,0
U2517,2026-01-23,Mobile,4,1,1
U2517,2026-01-24,PC,1,0,0
U2517,2026-01-26,Mobile,5,4,0
U2517,2026-01-27,PC,1,1,0
U2517,2026-01-28,PC,3,0,3
U2518,2026-01-15,PC,1,0,0
U2518,2026-01-16,Mobile,3,1,2
U2518,2026-01-17,PC,4,0,1
U2518,2026-01-18,PC,1,0,1
U2518,2026-01-19,Mobile,2,1,0
U2518,2026-01-20,PC,2,1,1
U2518,2026-01-21,Mobile,4,1,2
U2518,2026-01-22,PC,3,1,2
U2518,2026-01-23,Mobile,1,0,1
U2518,2026-01-24,Mobile,5,0,1
U2518,2026-01-25,PC,1,0,1
U2518,2026-01-26,Mobile,3,2,0
U2518,2026-01-27,Mobile,3,2,1
U2518,2026-01-28,PC,1,0,0
U2519,2026-01-15,Mobile,3,1,1
U2519,2026-01-17,PC,5,4,1
U2519,2026-01-18,PC,4,3,1
U2519,2026-01-19,PC,1,0,0
U2519,2026-01-20,PC,5,0,0
U2519,2026-01-21,PC,1,0,1
U2519,2026-01-22,PC,2,0,0
U2519,2026-01-23,Mobile,3,0,0
